stock,date,price
AMZN,2000-10-16,1.216
AMZN,2000-10-17,1.097
AMZN,2000-10-18,1.256
AMZN,2000-10-19,1.388
AMZN,2000-10-20,1.541
AMZN,2000-10-23,1.5
AMZN,2000-10-24,1.478
AMZN,2000-10-25,1.594
AMZN,2000-10-26,1.844
AMZN,2000-10-27,1.781
AMZN,2000-10-30,1.644
AMZN,2000-10-31,1.831
AMZN,2000-11-01,1.869
AMZN,2000-11-02,1.988
AMZN,2000-11-03,1.878
AMZN,2000-11-06,1.828
AMZN,2000-11-07,1.847
AMZN,2000-11-08,1.694
AMZN,2000-11-09,1.563
AMZN,2000-11-10,1.503
AMZN,2000-11-13,1.391
AMZN,2000-11-14,1.447
AMZN,2000-11-15,1.475
AMZN,2000-11-16,1.391
AMZN,2000-11-17,1.372
AMZN,2000-11-20,1.291
AMZN,2000-11-21,1.213
AMZN,2000-11-22,1.259
AMZN,2000-11-24,1.447
AMZN,2000-11-27,1.4
AMZN,2000-11-28,1.252
AMZN,2000-11-29,1.347
AMZN,2000-11-30,1.234
AMZN,2000-12-01,1.231
AMZN,2000-12-04,1.328
AMZN,2000-12-05,1.269
AMZN,2000-12-06,1.181
AMZN,2000-12-07,1.069
AMZN,2000-12-08,1.172
AMZN,2000-12-11,1.266
AMZN,2000-12-12,1.294
AMZN,2000-12-13,1.188
AMZN,2000-12-14,1.134
AMZN,2000-12-15,1.144
AMZN,2000-12-18,0.994
AMZN,2000-12-19,0.913
AMZN,2000-12-20,0.834
AMZN,2000-12-21,0.759
AMZN,2000-12-22,0.778
AMZN,2000-12-26,0.847
AMZN,2000-12-27,0.844
AMZN,2000-12-28,0.869
AMZN,2000-12-29,0.778
AMZN,2001-01-02,0.694
AMZN,2001-01-03,0.878
AMZN,2001-01-04,0.775
AMZN,2001-01-05,0.728
AMZN,2001-01-08,0.747
AMZN,2001-01-09,0.819
AMZN,2001-01-10,0.825
AMZN,2001-01-11,0.85
AMZN,2001-01-12,0.884
AMZN,2001-01-16,0.903
AMZN,2001-01-17,0.919
AMZN,2001-01-18,0.975
AMZN,2001-01-19,0.997
AMZN,2001-01-22,0.925
AMZN,2001-01-23,0.948
AMZN,2001-01-24,1.094
AMZN,2001-01-25,0.95
AMZN,2001-01-26,0.975
AMZN,2001-01-29,1.006
